,Companhia,Data de Coleta,Data da Passagem,Preço Mínimo,Média dos Preços
0,Latam,2023-07-19,2023-07-20,2444.64,2506.61
0,Azul,2023-07-19,2023-07-20,1346.64,2182.47
0,Gol,2023-07-19,2023-07-20,882.64,1903.29
0,Gol,2023-07-19,2023-08-03,675.17,894.64
0,Latam,2023-07-19,2023-08-03,798.91,1116.16
0,Azul,2023-07-19,2023-08-03,1006.64,1480.81
0,Azul,2023-07-19,2023-08-18,788.64,1297.96
0,Gol,2023-07-19,2023-08-18,579.92,907.74
0,Latam,2023-07-19,2023-08-18,798.91,893.05
0,Gol,2023-07-19,2023-09-02,670.64,894.08
0,Azul,2023-07-19,2023-09-02,727.64,1136.17
0,Latam,2023-07-19,2023-09-02,736.64,919.94
0,Gol,2023-07-19,2023-09-17,670.64,1332.16
0,Azul,2023-07-19,2023-09-17,727.64,1043.06
0,Latam,2023-07-19,2023-09-17,736.64,1028.04
0,Latam,2023-07-19,2023-10-02,736.64,833.91
0,Gol,2023-07-19,2023-10-02,670.64,952.43
0,Azul,2023-07-19,2023-10-02,715.64,1123.44
0,Azul,2023-07-19,2023-10-17,1031.64,1371.76
0,Gol,2023-07-19,2023-10-17,670.64,1021.34
0,Latam,2023-07-19,2023-10-17,736.64,914.44
0,Latam,2023-07-19,2023-11-01,843.64,1172.64
0,Azul,2023-07-19,2023-11-01,1229.64,1594.35
0,Gol,2023-07-19,2023-11-01,755.64,1217.38
0,Azul,2023-07-19,2023-11-16,884.64,1353.35
0,Gol,2023-07-19,2023-11-16,1185.64,1930.47
0,Latam,2023-07-19,2023-11-16,1184.64,1376.55
0,Gol,2023-07-19,2023-12-01,670.64,833.19
0,Latam,2023-07-19,2023-12-01,736.64,914.34
0,Azul,2023-07-19,2023-12-01,,
0,Latam,2023-07-19,2023-12-16,912.64,1167.25
0,Azul,2023-07-19,2023-12-16,1229.64,1472.39
0,Gol,2023-07-19,2023-12-16,1105.64,1374.02
0,Latam,2023-07-19,2023-12-31,912.64,1154.46
0,Gol,2023-07-19,2023-12-31,1105.64,1299.72
0,Azul,2023-07-19,2023-12-31,1333.64,1663.14
0,Latam,2023-07-19,2024-01-15,1047.64,1336.54
0,Azul,2023-07-19,2024-01-15,1333.64,1720.14
0,Gol,2023-07-19,2024-01-15,1105.64,1233.54
0,Gol,2023-07-19,2024-01-30,827.64,1179.84
0,Latam,2023-07-19,2024-01-30,912.64,1165.77
0,Azul,2023-07-19,2024-01-30,1333.64,1691.64
0,Latam,2023-07-19,2024-02-14,1969.64,1982.21
0,Azul,2023-07-19,2024-02-14,1986.64,2087.76
0,Gol,2023-07-19,2024-02-14,755.64,1412.86
0,Gol,2023-07-19,2024-02-29,670.64,799.21
0,Latam,2023-07-19,2024-02-29,736.64,1090.66
0,Azul,2023-07-19,2024-02-29,739.64,788.89
0,Gol,2023-07-19,2024-03-15,,
0,Latam,2023-07-19,2024-03-15,1047.64,1170.78
0,Azul,2023-07-19,2024-03-15,796.64,955.27
0,Latam,2023-07-19,2024-03-30,1969.64,1978.52
0,Azul,2023-07-19,2024-03-30,1031.64,1431.76
0,Gol,2023-07-19,2024-03-30,670.64,1449.64
0,Gol,2023-07-19,2024-04-14,670.64,797.02
0,Azul,2023-07-19,2024-04-14,796.64,930.64
0,Latam,2023-07-19,2024-04-14,736.64,1052.37
0,Azul,2023-07-19,2024-04-29,864.64,908.27
0,Latam,2023-07-19,2024-04-29,736.64,915.51
0,Gol,2023-07-19,2024-04-29,670.64,788.59
0,Gol,2023-07-19,2024-05-14,670.64,770.74
0,Azul,2023-07-19,2024-05-14,739.64,767.64
0,Latam,2023-07-19,2024-05-14,736.64,908.34
0,Azul,2023-07-19,2024-05-29,1804.64,1898.64
0,Azul,2023-07-19,2024-06-13,739.64,788.89
0,Azul,2023-07-19,2024-06-28,1151.64,1572.14
0,Azul,2023-07-19,2024-07-13,1031.64,1452.02
